,COP,AXP,RTN,BA,AAPL,PEP,NAV,GSK,MSFT,KMB,R,SAP,GS,CL,WAG,WMT,GE,SNE,PFE,AMZN,MAR,NVS,KO,MMM,CMCSA,SNY,IBM,CVX,WFC,DD,CVS,TOT,CAT,CAJ,BAC,AIG,TWX,HD,TXN,KFT,VLO,F,CVC,TM,PG,LMT,K,HMC,GD,HPQ,DELL,MTU,XRX,YHOO,XOM,JPM,MCD,CSCO,NOC,UN
2011-09-09,64.23,47.28,40.64,61.79,377.48,59.99,36.87,41.07,25.74,67.23,42.75,49.23,102.25,88.96,35.33,51.36,15.09,19.63,18.28,211.39,26.08,55.42,69.37,76.65,20.91,32.7,161.37,95.19,23.52,45.27,36.5,45.0,83.96,44.04,6.98,23.36,28.89,31.87,26.08,34.51,22.32,10.05,15.99,67.8,61.84,71.57,53.09,29.67,59.0,22.65,13.97,4.16,7.41,14.48,71.01,32.08,85.03,15.82,51.81,31.37
2011-09-12,64.24,47.46,40.94,62.39,379.94,60.14,36.46,40.89,25.89,67.25,42.54,49.15,102.92,87.72,35.66,51.82,15.01,19.5,18.25,216.56,26.04,54.61,69.38,78.22,21.14,32.19,162.42,95.91,24.1,44.28,36.78,44.62,83.87,44.3,7.05,23.58,29.2,32.35,26.28,34.25,22.34,10.11,15.97,68.17,61.83,72.24,52.64,29.44,58.9,22.58,14.19,4.13,7.52,14.26,71.84,32.42,86.19,16.09,52.42,30.9
2011-09-13,64.76,47.9,41.09,62.85,384.62,60.54,37.0,40.72,26.04,67.5,43.99,49.43,104.09,89.46,35.93,51.59,15.41,19.54,18.33,219.53,27.25,55.24,69.1,77.81,21.84,32.25,163.43,95.93,24.36,44.66,36.56,44.67,85.02,44.7,7.0,24.16,29.44,32.66,26.65,34.23,22.09,10.17,16.67,69.05,61.94,72.71,52.45,30.02,58.99,22.7,14.38,4.24,7.68,14.26,71.65,32.49,86.12,16.35,52.39,30.54
2011-09-14,65.97,48.99,41.07,63.03,389.3,61.58,38.5,41.0,26.5,68.21,45.03,50.29,104.54,91.39,36.65,52.2,15.79,19.88,18.41,222.57,28.29,56.0,69.77,79.44,21.98,32.86,167.24,97.31,24.69,45.52,36.67,44.54,85.45,43.38,7.05,24.49,29.91,33.54,27.27,34.53,21.96,10.32,17.83,69.57,62.34,73.58,52.66,30.55,59.86,22.93,14.86,4.27,7.82,14.55,72.64,32.8,86.75,16.33,52.91,31.06
2011-09-15,66.92,49.36,41.57,64.32,392.96,63.22,38.72,41.18,26.99,68.76,45.75,51.69,107.97,92.29,37.3,52.51,16.08,20.03,18.49,226.78,28.82,56.45,71.02,80.63,22.61,33.59,170.09,99.26,25.19,46.48,36.9,45.57,86.6,43.26,7.33,25.04,30.89,34.28,27.71,34.95,22.41,10.63,17.48,71.21,62.78,75.44,53.7,31.65,61.22,23.27,15.31,4.33,7.91,14.89,74.01,33.81,88.07,16.67,54.17,31.29
2011-09-16,67.29,50.12,42.13,65.38,400.5,62.05,39.06,41.46,27.12,69.78,45.33,51.64,107.49,93.64,36.96,52.65,16.33,20.5,18.15,239.3,29.2,56.05,71.23,80.53,22.94,33.56,172.99,99.63,24.95,47.12,36.22,45.28,85.9,44.29,7.23,25.44,30.96,34.61,27.82,35.06,22.19,10.62,17.86,70.81,64.33,76.03,53.99,31.57,60.6,23.53,15.2,4.42,8.02,14.97,74.55,33.43,88.29,16.62,54.82,31.33
2011-09-19,66.77,48.68,41.88,64.15,411.63,60.56,38.2,41.51,27.21,69.89,44.68,50.46,104.81,93.32,37.05,52.45,16.18,20.17,18.06,241.69,28.74,55.27,70.49,79.21,22.86,32.9,173.13,98.71,24.33,46.38,35.69,44.34,84.6,43.84,6.99,24.66,30.77,34.35,27.7,34.87,21.41,10.54,17.54,70.84,63.81,76.69,53.48,31.46,60.17,22.91,14.87,4.39,7.91,14.61,73.7,32.49,88.81,16.51,53.88,30.9
2011-09-20,67.01,49.27,41.35,63.56,413.45,60.39,37.27,42.03,26.98,70.45,43.29,50.59,102.61,93.96,37.09,52.29,16.04,19.81,18.24,233.25,28.61,55.38,70.65,79.21,22.72,33.25,174.72,97.79,24.67,45.96,35.81,44.07,83.66,44.07,6.9,24.6,31.22,34.81,27.54,34.52,20.98,10.42,17.49,70.43,64.08,75.44,53.44,31.06,59.55,22.47,14.88,4.31,7.76,14.36,74.01,32.25,89.31,16.53,53.85,31.07
2011-09-21,64.95,48.23,39.81,61.02,412.14,60.79,35.11,40.93,25.99,69.29,40.72,50.2,97.86,89.99,36.37,51.32,15.38,19.18,17.84,231.87,27.77,54.93,69.28,76.34,21.86,32.21,173.02,94.27,23.71,44.61,35.33,43.14,79.36,43.53,6.38,22.95,29.99,33.84,26.88,34.13,19.89,9.97,16.84,68.3,63.02,72.65,52.62,30.15,57.27,23.98,14.69,4.23,7.49,13.96,71.97,30.34,87.52,15.84,51.89,30.55
2011-09-22,62.87,46.63,38.83,58.72,401.82,60.92,32.69,40.31,25.06,69.2,38.99,48.71,93.98,87.41,35.23,50.28,15.04,18.66,17.49,223.23,26.8,53.98,67.82,72.9,21.02,31.5,168.62,90.17,23.17,41.65,34.61,41.27,73.9,42.75,6.06,21.61,28.91,33.05,26.23,33.71,18.57,9.62,16.25,66.97,61.17,73.14,52.41,29.11,55.87,22.8,14.0,4.12,7.11,13.99,69.24,29.27,85.99,15.33,51.13,30.39
