,COP,AXP,RTN,BA,AAPL,PEP,NAV,GSK,MSFT,KMB,R,SAP,GS,CL,WAG,WMT,GE,SNE,PFE,AMZN,MAR,NVS,KO,MMM,CMCSA,SNY,IBM,CVX,WFC,DD,CVS,TOT,CAT,CAJ,BAC,AIG,TWX,HD,TXN,KFT,VLO,F,CVC,TM,PG,LMT,K,HMC,GD,HPQ,DELL,MTU,XRX,YHOO,XOM,JPM,MCD,CSCO,NOC,UN
2010-02-05,47.98,37.85,53.41,58.4,195.46,59.51,38.24,38.06,28.02,58.96,33.14,45.96,154.16,79.26,33.31,53.45,15.79,34.26,17.96,117.39,26.2,53.41,53.09,78.54,15.42,35.51,123.52,71.18,27.42,32.73,31.07,55.33,51.75,39.5,15.0,22.41,27.03,27.98,22.97,28.44,18.16,10.91,25.24,74.71,61.3,75.72,52.72,34.49,66.66,47.32,13.24,5.09,8.47,15.19,64.8,38.3,63.37,23.7,57.66,28.98
2010-02-08,47.37,36.79,52.79,57.89,194.12,58.96,38.14,38.12,27.72,58.95,32.67,43.29,151.1,79.09,33.29,52.93,15.6,33.01,17.84,116.83,25.95,53.08,52.65,77.53,15.21,35.91,121.88,70.13,26.43,32.19,32.72,55.17,50.78,38.87,14.48,22.16,26.92,28.59,23.1,28.36,17.85,10.97,25.15,72.85,61.01,74.53,52.01,33.81,66.35,47.59,13.39,5.09,8.45,14.99,64.35,37.7,62.92,23.5,57.97,29.09
2010-02-09,48.49,37.54,53.41,59.74,196.19,60.05,38.96,38.47,28.01,59.62,33.4,43.9,152.49,80.17,33.61,53.25,15.6,33.77,17.88,118.03,26.12,53.58,54.01,78.72,15.39,36.29,123.21,71.31,26.71,32.88,32.72,56.03,53.53,39.71,14.47,23.14,27.41,28.87,23.38,28.9,18.1,11.15,26.11,74.6,61.76,75.45,52.49,34.52,68.04,48.12,13.55,5.11,8.38,15.07,65.2,38.39,63.57,23.89,59.55,29.45
2010-02-10,48.26,37.75,53.51,59.54,195.12,60.38,38.5,37.52,27.99,58.93,33.21,43.32,153.63,79.82,33.3,53.24,15.69,33.81,17.74,117.36,26.4,53.22,53.79,78.62,15.31,35.96,122.81,70.75,27.18,32.38,32.73,56.01,53.15,39.6,14.67,26.92,27.38,28.65,23.44,28.93,18.0,10.94,22.1,75.69,61.67,75.11,52.33,33.76,67.64,48.02,13.75,5.04,8.45,14.8,64.85,38.87,63.25,23.76,58.54,29.34
2010-02-11,48.9,38.29,53.66,60.59,198.67,61.19,39.2,38.47,28.12,59.19,34.04,42.81,154.05,80.33,33.6,53.08,15.77,34.06,17.87,120.09,26.66,53.86,54.22,80.27,15.33,36.12,123.73,71.73,27.08,32.55,33.21,57.42,56.15,39.88,14.63,26.3,27.78,28.99,23.77,28.99,18.0,11.18,22.45,76.0,61.96,76.35,52.62,33.84,67.8,48.62,13.95,5.1,8.76,15.22,65.24,39.02,63.79,23.93,59.41,29.76
2010-02-12,48.67,38.42,53.4,59.65,200.38,60.92,39.11,38.75,27.93,58.86,34.15,42.99,153.93,79.66,33.49,52.9,15.55,34.06,17.8,119.66,26.84,53.71,53.98,79.18,15.34,36.21,124.0,71.01,26.88,32.28,32.99,56.94,56.2,39.54,14.45,26.82,27.88,29.0,24.03,29.09,17.7,11.12,22.42,77.05,61.76,75.58,52.34,33.63,67.95,48.46,13.84,5.01,8.77,15.17,64.8,38.95,63.59,23.76,58.89,29.81
2010-02-16,49.92,39.62,54.5,61.26,203.4,61.31,39.72,39.25,28.35,59.26,34.7,44.3,157.4,80.62,34.08,53.56,16.04,34.22,17.72,117.53,27.12,54.25,54.82,80.47,15.67,36.75,125.23,72.99,27.39,32.74,33.52,58.51,57.12,40.03,15.16,27.43,28.7,29.44,24.79,28.97,17.97,11.32,22.17,76.01,62.83,76.03,52.6,34.27,69.85,49.44,14.14,5.01,8.86,15.41,66.28,40.07,64.01,24.0,59.56,30.08
2010-02-17,49.3,39.05,54.52,61.82,202.55,62.11,40.5,39.36,28.59,59.35,34.64,44.13,157.26,81.2,34.19,54.06,16.15,34.44,17.67,116.31,27.09,54.43,55.33,80.14,15.66,36.7,126.33,72.84,27.33,33.13,33.99,58.2,57.5,41.07,15.66,26.9,28.95,30.02,24.71,28.63,17.82,11.49,22.62,74.15,62.85,76.37,52.98,34.67,70.1,50.12,14.11,5.0,8.92,15.44,65.76,40.04,64.26,24.07,59.94,30.35
2010-02-18,48.87,39.15,55.36,62.89,202.93,62.53,40.0,38.84,28.97,60.4,34.69,44.24,155.73,82.44,34.69,53.47,16.24,34.71,17.73,118.08,27.05,54.81,55.91,81.11,15.73,37.02,127.81,73.62,27.34,33.62,34.12,58.75,57.81,41.31,15.88,26.71,29.08,30.3,24.83,28.81,17.69,11.38,22.73,73.44,63.39,77.33,53.01,34.62,71.78,50.81,14.43,5.08,9.17,15.54,65.96,40.41,64.48,24.28,61.51,30.64
2010-02-19,48.9,39.06,55.54,63.59,201.67,62.66,39.6,38.26,28.77,60.25,34.85,44.5,156.18,81.75,34.86,53.49,16.17,34.43,17.99,117.52,27.26,55.26,55.72,81.52,16.0,37.12,127.19,74.05,27.37,34.03,34.31,58.25,58.25,41.09,15.88,26.53,29.44,30.15,25.01,28.92,17.89,11.29,23.12,73.35,63.45,77.21,53.2,34.35,72.61,50.79,13.47,4.97,9.2,15.58,65.87,40.03,64.74,24.36,61.21,30.82
2010-02-22,48.7,38.93,55.85,63.97,200.42,62.41,39.25,37.32,28.73,59.9,35.12,44.0,156.71,82.08,34.75,53.83,16.25,34.78,17.95,118.01,27.36,54.77,55.38,80.68,16.19,36.8,126.85,72.96,28.01,33.98,34.22,58.06,58.03,42.19,16.21,28.43,29.01,30.32,24.73,28.95,17.78,11.21,23.05,72.93,63.42,76.94,52.86,34.63,72.57,50.56,13.36,4.96,9.24,15.49,65.4,40.85,64.77,24.3,61.67,30.68
2010-02-23,47.85,37.93,55.51,62.77,197.06,61.78,39.05,37.42,28.33,60.38,34.43,43.72,156.7,81.89,34.76,53.62,15.95,34.61,17.67,117.24,27.07,54.39,54.83,79.71,16.14,36.29,126.46,72.04,27.29,33.68,34.15,56.63,56.66,41.61,15.94,26.76,28.48,30.75,24.3,29.13,17.48,11.6,22.54,71.55,63.21,76.9,52.73,33.9,71.81,50.12,13.21,4.97,9.1,15.38,64.94,39.88,64.87,24.05,61.24,30.33
2010-02-24,48.35,38.41,56.17,63.48,200.66,62.08,39.13,37.33,28.63,60.3,34.86,44.33,158.33,82.96,35.5,53.92,16.12,34.6,17.81,119.72,27.26,54.88,55.16,80.07,16.42,36.36,127.59,72.34,27.66,33.98,34.51,56.42,56.96,41.41,16.33,27.99,28.68,31.36,24.75,29.05,17.6,11.73,22.83,74.33,63.89,77.56,52.4,34.46,72.6,50.79,13.39,4.99,9.25,15.59,65.55,40.85,65.26,24.34,61.69,30.57
2010-02-25,48.3,38.04,55.85,62.87,202.0,62.3,38.9,37.13,28.6,60.4,34.74,44.21,156.44,83.11,36.02,54.15,15.92,34.0,17.69,118.2,27.0,55.06,53.12,79.74,16.14,36.19,127.07,72.11,27.44,33.52,34.0,55.38,56.79,41.58,16.55,27.51,28.86,31.36,24.52,28.81,17.45,11.78,23.58,73.9,63.7,76.99,52.31,34.24,72.2,50.92,13.29,5.07,9.29,15.24,65.14,40.64,64.38,24.33,61.12,30.27
2010-02-26,48.0,38.19,56.24,63.16,204.62,62.47,39.16,37.14,28.67,60.74,35.29,44.58,156.35,82.94,35.24,54.07,16.06,34.11,17.55,118.4,27.11,55.32,52.72,80.15,16.44,36.6,127.16,72.3,27.34,33.72,33.75,55.66,57.05,41.48,16.66,24.77,29.04,31.2,24.38,28.43,17.52,11.74,24.08,74.83,63.28,77.76,52.15,34.61,72.55,50.79,13.24,5.12,9.37,15.31,65.0,41.97,63.85,24.33,61.26,30.09
2010-03-01,48.91,38.13,56.79,64.0,208.99,63.43,40.23,37.03,29.02,60.75,35.29,45.27,156.54,83.79,35.42,53.9,15.9,34.8,17.75,124.54,27.22,55.52,53.27,80.58,16.83,37.04,128.57,72.81,27.35,34.03,34.41,55.96,57.85,42.18,16.71,25.78,29.6,31.43,24.63,28.72,17.64,12.41,24.51,73.64,63.51,78.86,52.16,34.97,73.91,51.54,13.57,5.16,9.55,15.79,65.4,41.83,63.98,24.6,63.01,30.31
2010-03-02,49.71,38.39,56.86,64.44,208.85,63.8,41.47,37.23,28.46,60.34,35.08,45.77,158.75,83.86,35.24,53.59,15.9,34.85,17.6,125.53,26.87,54.26,53.3,81.13,16.8,37.27,127.42,73.32,27.87,34.03,34.66,56.37,58.15,42.51,16.46,25.03,29.67,31.36,24.48,28.91,18.2,12.22,24.32,74.42,63.71,79.21,52.61,34.87,73.98,51.12,13.68,5.17,9.5,15.73,65.49,41.62,64.07,24.61,62.91,30.57
2010-03-03,49.38,38.28,56.48,64.45,209.33,63.98,41.38,37.36,28.46,60.02,35.11,45.72,157.72,83.86,35.36,53.66,16.03,35.5,17.32,125.89,26.72,54.33,53.93,81.0,16.96,37.64,126.88,73.13,28.2,34.26,34.74,56.87,58.57,42.78,16.37,24.88,29.61,31.47,24.4,28.97,18.62,12.69,24.15,76.94,63.55,78.85,52.57,34.93,72.83,51.1,13.71,5.17,9.52,15.57,65.43,41.53,63.63,24.84,62.32,30.88
2010-03-04,49.34,38.89,56.73,65.55,210.71,64.11,41.83,37.37,28.63,60.04,35.29,46.06,163.61,84.16,35.0,53.96,16.11,35.04,17.33,128.53,26.99,53.79,54.47,81.02,17.17,37.23,126.72,73.08,28.43,34.56,34.87,56.41,58.45,42.57,16.4,26.71,29.9,31.44,24.67,29.08,18.82,12.79,24.07,75.42,63.67,79.27,52.65,34.82,72.94,51.51,13.67,5.15,9.54,15.81,65.4,41.92,63.43,24.95,63.08,30.76
2010-03-05,50.41,40.2,57.11,67.93,218.95,64.37,42.34,37.54,28.59,60.11,35.91,46.13,167.18,84.21,34.99,54.14,16.35,36.34,17.48,128.91,27.87,54.21,54.7,82.44,17.43,38.14,127.25,74.3,29.15,34.97,35.03,57.81,59.23,44.06,16.7,28.08,30.54,31.8,24.97,29.34,19.57,13.0,24.28,76.94,63.69,81.27,52.93,35.15,73.73,52.03,13.88,5.14,9.87,16.06,66.47,42.81,63.67,25.21,64.22,31.12
2010-03-08,50.73,39.71,57.07,67.24,219.08,64.15,43.42,37.37,28.63,60.12,36.01,46.25,169.84,83.95,34.74,54.15,16.27,36.75,17.35,130.11,27.9,54.32,54.46,81.31,17.56,38.15,126.41,74.64,28.89,35.37,34.83,57.62,58.91,44.14,16.74,29.1,30.64,31.96,24.69,29.17,19.62,12.93,24.0,77.94,63.19,81.09,52.62,35.97,73.65,51.73,14.01,5.17,9.91,16.52,66.48,42.59,65.12,26.13,64.16,31.04
2010-03-09,50.85,39.7,57.1,67.79,223.02,64.36,44.25,37.72,28.8,60.01,36.61,45.92,168.85,84.5,34.39,54.06,16.49,37.15,17.23,128.82,28.1,54.64,54.18,81.99,17.51,38.18,125.55,74.3,28.98,35.25,34.68,57.79,59.18,43.88,16.8,32.77,30.6,31.68,24.19,29.23,19.53,12.8,24.08,76.67,63.3,82.22,52.43,36.01,73.68,51.88,14.18,5.15,9.74,16.53,66.78,42.42,65.1,26.13,64.0,30.99
2010-03-10,51.47,39.72,57.1,70.01,224.84,64.43,41.91,37.66,28.97,59.48,36.43,46.48,171.94,83.58,34.27,53.63,16.51,37.65,17.15,130.51,28.1,54.67,54.2,81.56,17.53,38.27,125.62,73.96,29.57,35.2,34.85,58.26,58.78,44.48,17.11,36.24,30.53,31.71,24.59,29.38,20.52,12.82,24.0,76.36,63.01,82.58,52.51,36.15,73.94,51.78,14.31,5.09,9.85,16.79,67.22,42.93,64.94,25.87,64.55,31.01
2010-03-11,51.3,40.11,56.99,70.07,225.5,64.97,40.16,37.84,29.18,59.71,35.96,45.95,173.51,84.08,33.94,53.97,16.48,38.17,17.29,133.58,28.33,54.74,53.6,81.26,17.57,38.19,127.6,73.99,29.76,35.35,34.66,58.69,58.9,44.8,17.12,35.11,30.66,32.13,24.07,29.42,20.41,12.91,23.75,76.94,63.17,83.03,52.69,36.32,74.15,52.02,14.21,5.15,10.0,16.53,67.22,43.18,65.21,25.97,64.75,30.83
2010-03-12,51.68,40.76,56.68,69.83,226.6,65.1,40.53,37.82,29.27,60.08,36.8,46.05,174.96,84.15,33.93,53.9,17.04,37.34,17.08,131.82,28.7,54.7,53.35,81.38,17.42,38.04,127.94,73.72,29.63,35.49,34.63,58.45,60.36,44.85,16.85,34.23,30.54,32.45,24.0,29.45,20.44,13.34,24.09,76.99,63.32,83.09,52.49,36.6,73.76,52.36,14.26,5.21,9.89,16.32,66.8,43.15,65.53,25.88,64.0,31.04
2010-03-15,51.65,40.7,56.56,69.4,223.84,66.15,40.04,37.73,29.29,60.35,36.96,45.97,173.53,84.37,34.17,55.42,17.29,37.61,17.26,131.13,28.62,54.78,53.65,81.26,17.53,38.56,127.83,73.57,29.89,35.48,34.73,58.05,59.47,46.1,16.85,34.32,30.46,32.69,23.94,29.56,20.36,13.4,24.0,78.09,63.7,84.12,52.51,36.4,73.66,52.42,14.26,5.19,10.02,16.46,66.3,43.07,65.93,26.08,64.31,30.61
2010-03-16,52.17,40.92,56.81,68.72,224.45,66.07,40.66,37.79,29.37,60.53,37.69,46.41,176.19,84.62,34.51,55.99,18.07,37.57,17.26,131.79,28.8,54.86,53.7,81.66,17.49,39.44,128.67,73.98,30.28,35.94,34.93,58.6,59.45,45.85,17.03,33.61,31.06,32.55,24.68,29.69,20.56,13.49,23.76,79.43,63.53,84.62,52.83,36.0,73.71,52.35,14.3,5.32,10.09,16.36,66.57,43.24,66.07,26.15,64.63,31.06
2010-03-17,52.98,41.01,56.84,69.38,224.12,66.57,41.26,37.8,29.63,60.93,38.49,47.39,176.64,84.63,34.48,55.92,18.04,37.8,17.21,131.34,28.72,54.82,53.84,82.18,17.58,38.88,127.76,74.67,30.55,36.49,35.21,58.87,60.22,45.68,17.27,34.41,31.2,32.52,24.91,29.7,20.66,14.1,23.88,79.3,64.01,84.86,52.96,35.79,74.98,52.23,14.59,5.32,9.9,16.5,67.36,43.79,66.38,26.26,64.9,31.01
2010-03-18,52.71,41.0,56.84,70.87,224.65,66.52,42.29,39.22,29.61,61.29,38.53,47.37,177.45,84.77,34.82,55.94,18.19,38.36,17.23,132.76,28.74,54.94,53.95,83.67,17.67,38.71,128.38,74.76,30.29,37.07,35.09,58.08,59.77,44.69,17.08,34.64,31.16,32.4,24.72,29.83,20.55,13.73,23.76,78.81,63.73,85.94,52.84,35.69,75.24,52.73,14.55,5.24,9.86,16.56,67.39,43.64,66.68,26.34,65.05,30.78
2010-03-19,52.37,40.33,56.87,70.72,222.25,66.56,41.92,38.57,29.59,61.43,38.69,46.94,177.9,84.84,34.53,55.34,18.07,38.64,16.91,130.35,29.06,54.82,54.75,81.96,17.53,38.45,127.71,74.98,30.38,36.86,34.55,57.32,59.37,45.17,16.82,34.8,31.24,32.36,24.36,29.63,20.31,13.29,23.44,79.56,63.84,86.9,53.43,35.96,75.49,52.49,14.41,5.22,9.57,16.44,67.04,43.45,66.53,26.15,65.54,30.2
2010-03-22,52.1,41.08,57.09,71.91,224.75,66.31,42.65,39.01,29.6,63.0,38.77,46.98,176.16,84.95,35.33,55.62,18.07,38.84,17.15,130.47,29.55,54.72,54.54,81.84,17.78,38.19,127.98,74.46,30.41,37.79,35.19,57.31,59.95,45.77,16.96,33.39,31.28,32.67,24.73,29.73,20.29,13.99,23.53,80.19,63.88,85.71,54.16,36.06,75.66,52.95,14.62,5.28,9.87,16.34,66.97,43.74,67.01,26.28,64.94,30.19
2010-03-23,52.51,41.24,57.25,72.18,228.36,66.86,42.96,38.98,29.88,63.51,38.89,47.97,174.83,85.34,35.91,55.89,18.33,40.44,17.54,129.26,29.75,55.17,55.3,82.35,18.09,38.15,129.37,74.77,31.08,38.31,35.92,57.52,62.41,45.83,17.13,33.28,31.29,32.59,25.45,30.78,20.3,13.9,23.49,82.35,64.53,84.78,54.76,36.26,76.94,53.15,15.22,5.25,10.11,16.03,66.95,44.58,67.35,26.64,65.19,30.14
2010-03-24,52.53,41.01,57.11,72.32,229.37,66.26,43.28,38.64,29.65,62.89,38.54,46.97,174.41,84.34,35.4,55.58,18.45,38.7,17.61,128.04,29.67,54.66,54.62,81.61,18.18,37.28,128.53,73.93,30.86,38.77,35.51,56.49,62.06,45.6,17.57,33.17,31.25,32.32,24.79,30.72,20.69,13.9,23.77,81.58,63.61,83.88,54.61,35.53,75.74,53.06,14.99,5.15,9.86,16.09,66.5,44.94,66.8,26.45,64.94,29.62
2010-03-25,51.53,41.42,57.26,72.49,226.65,66.55,43.8,38.42,30.01,63.04,38.26,46.99,174.9,83.41,36.33,55.61,18.3,37.66,17.39,134.73,30.15,54.22,54.8,80.93,18.44,37.49,129.24,73.8,31.06,37.83,36.42,56.26,62.14,45.51,17.74,34.51,31.23,32.62,24.79,30.8,19.87,13.8,23.67,80.33,63.62,83.53,54.24,35.48,76.22,53.5,14.87,5.1,9.62,16.32,66.3,44.94,66.9,26.43,64.98,29.52
2010-03-26,51.02,41.12,57.29,72.59,230.9,66.59,43.72,38.02,29.66,62.81,38.56,47.08,172.87,84.44,36.79,55.51,18.34,38.22,17.14,135.06,31.09,53.83,54.65,81.0,18.34,37.33,129.26,74.43,31.22,37.69,36.79,57.06,62.44,45.92,17.9,34.21,31.5,32.75,24.75,30.63,19.72,13.86,23.73,80.75,63.69,84.24,53.76,35.24,76.92,53.42,14.99,5.16,9.7,16.54,66.54,45.02,67.26,26.47,65.53,29.22
2010-03-29,51.15,41.48,57.67,74.11,232.39,66.55,44.37,38.12,29.59,63.22,38.86,48.0,174.05,84.98,37.49,55.74,18.4,38.43,17.28,135.12,31.28,53.93,54.77,81.36,18.5,37.37,128.59,75.23,31.1,37.72,37.07,57.53,63.48,45.87,18.04,34.45,31.56,32.6,24.73,30.54,19.89,13.57,23.96,80.98,63.73,84.82,53.86,35.39,78.48,52.97,14.96,5.37,9.73,16.56,67.3,44.86,67.07,26.51,65.78,29.47
2010-03-30,51.26,41.29,57.45,73.53,235.85,66.77,44.24,38.23,29.77,63.14,39.01,47.84,171.38,85.46,37.42,55.91,18.3,38.84,17.26,136.58,31.78,53.65,54.87,84.28,18.74,37.24,128.77,75.3,30.84,37.78,37.03,57.69,63.16,46.55,17.76,34.19,31.39,32.69,24.61,30.5,19.84,13.28,23.95,81.25,63.66,84.09,53.75,35.47,77.49,53.26,14.97,5.37,9.69,16.61,67.05,44.58,67.24,26.65,65.72,29.79
2010-03-31,51.17,41.26,57.12,72.61,235.0,66.16,44.73,38.52,29.29,62.88,38.76,48.17,170.63,85.26,37.09,55.6,18.2,38.32,17.15,135.77,31.52,54.1,55.0,83.57,18.83,37.36,128.25,75.83,31.12,37.24,36.56,58.02,62.85,46.21,17.85,34.14,31.27,32.35,24.47,30.24,19.7,12.57,24.14,80.42,63.27,83.22,53.43,35.29,77.2,53.15,15.02,5.23,9.75,16.53,66.98,44.75,66.72,26.03,65.57,30.16
2010-04-01,52.02,41.7,56.92,72.99,235.97,66.68,44.99,38.55,29.16,62.5,39.19,48.64,170.22,85.81,37.75,55.49,18.33,38.42,17.08,131.81,31.93,53.83,55.3,83.85,18.86,37.44,128.25,76.69,31.37,37.91,36.23,59.35,63.99,46.97,18.04,34.11,31.41,32.38,24.63,30.34,20.02,12.63,24.52,80.49,63.36,83.88,53.61,35.54,77.91,53.24,15.05,5.25,9.99,16.29,67.61,45.18,67.58,25.83,66.25,31.29
2010-04-05,53.28,42.67,57.55,72.04,238.49,65.98,47.91,38.63,29.27,62.26,39.62,48.97,173.16,85.62,37.83,55.49,18.53,38.57,16.9,131.49,32.44,53.53,54.86,84.19,18.82,37.2,129.35,77.66,31.51,38.42,36.01,59.89,64.99,47.39,18.13,35.06,31.9,32.66,25.39,30.21,20.63,12.77,25.05,81.26,63.76,83.84,53.14,36.03,78.23,53.87,15.2,5.21,10.38,16.51,68.19,45.34,68.03,26.17,66.42,31.0
2010-04-06,53.3,43.12,57.07,72.36,239.54,66.39,47.75,38.74,29.32,62.2,41.56,48.44,172.9,84.93,37.4,55.53,18.6,37.42,16.96,135.56,32.7,52.69,54.29,84.35,18.76,36.83,128.93,77.88,32.28,38.81,35.85,59.59,65.29,47.51,18.49,35.91,31.99,32.55,25.05,30.08,20.74,12.7,25.28,80.84,63.11,82.52,53.04,35.5,77.41,53.86,15.57,5.29,10.27,16.92,67.9,45.84,67.81,26.22,65.73,30.83
2010-04-07,52.91,42.37,56.81,72.1,240.6,65.99,47.06,38.76,29.35,61.54,41.73,48.05,176.36,85.11,36.79,55.28,18.5,36.87,17.07,134.87,32.35,52.25,53.82,83.66,18.29,36.91,128.48,77.37,31.99,38.79,35.66,58.24,64.47,47.03,18.62,39.69,32.09,32.61,25.32,30.07,20.11,12.58,24.91,79.92,62.5,82.19,52.65,35.19,76.47,53.29,15.69,5.42,10.16,16.87,67.34,45.32,67.7,26.34,65.22,30.8
2010-04-08,53.94,43.69,56.77,72.28,239.95,65.97,48.0,38.86,29.92,61.33,41.84,48.41,179.5,84.56,36.85,55.38,18.56,36.85,17.14,140.96,32.86,52.22,53.76,82.95,18.43,36.79,127.61,77.66,32.23,39.14,36.47,58.55,64.48,46.43,18.65,37.59,32.2,32.97,24.72,30.13,20.02,12.63,25.24,79.48,62.56,82.19,52.31,35.14,76.81,53.63,15.76,5.47,10.42,17.35,67.86,45.76,68.76,26.28,65.1,30.68
2010-04-09,55.32,43.88,57.53,72.42,241.79,66.36,49.2,39.2,30.34,61.68,42.44,48.9,179.12,84.27,37.07,55.07,18.52,36.81,17.25,140.06,33.1,53.11,54.59,83.49,18.5,37.37,128.76,79.5,32.3,39.19,37.23,59.81,65.27,46.05,18.59,38.14,32.63,33.25,24.94,30.24,20.01,12.72,25.7,79.92,62.73,82.79,52.81,35.3,77.54,53.87,15.83,5.44,10.44,17.52,68.76,45.98,68.68,26.6,66.15,31.06
2010-04-12,55.96,44.54,57.43,71.92,242.29,66.32,49.9,39.13,30.32,61.39,42.72,49.01,177.84,84.79,36.82,55.02,18.71,36.54,17.29,141.2,32.98,53.48,54.76,83.28,18.63,37.49,128.36,80.43,32.42,38.9,36.98,59.51,66.73,46.0,18.66,41.22,32.7,33.48,25.69,30.34,19.6,12.77,25.92,79.55,62.7,82.92,53.08,35.37,77.3,53.88,15.93,5.49,10.49,17.64,68.71,46.14,68.53,26.53,66.22,31.16
2010-04-13,55.67,44.99,58.13,71.19,242.43,66.39,49.98,39.49,30.45,61.06,42.95,48.69,179.25,84.55,36.81,54.72,18.95,36.6,17.18,140.16,33.36,53.71,55.02,83.94,18.67,37.32,129.03,80.21,32.15,38.61,37.18,58.98,66.19,46.09,18.67,40.15,32.77,34.34,25.87,30.65,19.67,12.79,26.04,79.03,63.0,82.6,53.12,35.07,76.85,53.78,15.72,5.47,10.45,18.18,68.66,45.87,68.92,26.44,66.64,31.17
2010-04-14,56.89,46.46,58.2,71.7,245.69,66.29,50.01,39.47,30.82,61.24,43.73,49.83,184.92,84.64,36.78,54.64,19.35,37.0,17.07,144.28,33.91,53.6,54.95,84.39,18.93,37.5,131.25,80.58,33.28,38.87,37.26,59.44,67.28,47.29,19.4,39.74,32.87,34.98,26.9,30.88,20.36,13.35,26.14,80.33,63.19,82.61,53.52,35.22,76.71,54.52,16.56,5.55,10.55,18.38,68.61,47.73,69.42,26.88,66.85,31.29
2010-04-15,57.06,46.67,58.76,72.09,248.92,66.27,50.85,39.46,30.87,61.59,43.94,49.65,184.27,84.25,36.51,54.13,19.5,36.69,16.99,145.82,34.03,53.71,54.26,85.0,18.86,37.35,130.89,81.59,33.51,39.33,37.37,59.41,68.22,47.37,19.48,39.98,32.89,35.14,26.99,31.07,19.87,13.76,26.25,80.06,63.0,83.22,53.54,35.2,76.46,54.23,16.86,5.52,10.49,18.97,68.26,47.81,69.16,27.21,66.82,30.89
2010-04-16,56.05,45.1,58.32,70.79,247.4,66.14,50.14,39.57,30.67,61.82,43.35,48.62,160.7,84.25,35.86,54.11,18.97,35.56,16.8,142.17,33.88,53.35,54.97,83.76,18.32,36.71,130.63,80.75,32.56,38.66,37.14,58.25,66.88,46.3,18.41,39.15,33.0,35.01,26.58,30.66,19.15,13.42,25.71,79.37,62.85,82.99,54.04,34.49,76.04,53.75,16.76,5.47,10.32,18.17,67.93,45.55,69.03,26.98,65.97,30.55
2010-04-19,56.64,45.76,58.61,70.96,247.07,66.12,49.99,39.38,31.04,62.15,43.36,48.5,163.32,84.15,36.13,54.39,18.94,36.11,16.79,142.43,33.88,53.37,55.32,83.9,18.58,36.66,132.23,81.32,33.02,39.37,37.03,58.09,66.99,46.19,18.39,39.09,32.71,35.17,26.43,30.79,19.01,13.6,25.53,79.06,63.22,84.2,53.78,34.7,76.14,53.64,16.9,5.41,10.71,18.39,68.23,45.39,69.92,27.07,66.42,30.27
2010-04-20,57.4,46.2,59.32,71.41,244.59,65.9,50.3,39.43,31.36,62.53,43.63,48.96,159.98,84.54,36.06,54.52,19.0,35.67,16.76,144.2,34.18,53.41,54.47,85.27,18.54,36.62,129.69,82.05,33.69,39.16,37.2,59.07,67.5,46.08,18.61,41.63,33.17,35.18,26.65,30.45,19.58,13.91,25.71,78.76,63.19,84.97,53.61,34.6,76.94,53.56,17.01,5.42,10.74,18.38,68.97,45.88,70.34,27.18,67.43,30.27
2010-04-21,57.22,45.99,60.01,74.16,259.22,65.98,49.34,39.0,31.33,62.95,45.74,48.9,158.93,84.7,35.87,54.47,19.03,35.49,16.6,146.43,34.67,52.88,54.19,85.7,18.53,36.24,128.99,81.92,33.01,39.07,36.9,57.89,67.75,45.64,18.28,40.9,33.08,35.27,26.42,30.25,19.23,14.13,25.96,78.09,63.63,86.25,53.87,34.77,78.05,53.7,17.17,5.52,10.6,17.45,68.92,45.35,70.36,27.24,68.37,30.6
2010-04-22,56.98,46.77,59.54,75.59,266.47,64.76,49.22,38.61,31.39,62.12,47.76,48.97,159.05,83.98,36.06,54.49,18.95,35.13,16.48,150.09,36.82,52.14,54.31,86.05,18.8,36.0,129.13,81.2,33.58,39.47,36.83,57.04,67.51,45.47,18.54,43.25,33.25,35.72,26.5,30.19,19.45,14.2,26.16,77.2,63.59,86.67,53.98,34.51,78.21,53.31,17.46,5.46,10.45,17.72,68.56,44.74,71.03,27.32,68.99,30.8
2010-04-23,58.09,48.05,59.72,75.13,270.83,64.71,50.18,38.61,30.96,60.93,47.35,49.92,157.4,83.27,35.86,54.53,19.07,34.98,16.91,143.63,37.57,52.47,53.88,86.58,18.96,36.13,129.99,82.67,33.48,40.22,37.01,57.54,68.78,46.02,18.43,44.38,33.14,36.39,26.67,30.09,19.88,14.21,26.26,77.64,63.54,86.92,53.62,34.61,78.6,53.9,17.5,5.4,11.32,17.64,69.24,44.94,71.15,27.47,68.99,30.89
2010-04-26,58.3,47.14,59.35,74.34,269.5,65.02,49.79,38.68,31.11,60.94,47.64,49.93,152.03,84.2,35.69,54.04,19.3,35.07,16.82,147.11,37.38,52.02,53.73,87.44,19.08,36.1,130.73,82.59,32.72,40.95,36.87,56.97,71.65,47.3,18.05,44.51,33.51,36.49,27.16,30.09,20.12,14.46,26.9,78.82,63.94,86.09,53.34,35.15,78.67,54.26,17.02,5.42,11.35,17.39,69.29,43.89,71.02,27.57,68.93,31.06
